"","TRAF4","CDH1","CDH2","VIM","FN1","ZEB1","ZEB2","SNAI1","SNAI2","SNAI3","TWIST1","TWIST2"
"TCGA.QG.A5Z2.01A.11R.A28H.07",-0.234953202171415,-0.35806419362623,-0.549808335973467,-0.837403477779718,-0.661801829361951,-0.546974103956393,-0.647270800453243,-1.32050657340348,-0.815080900387181,0.475751559011614,-0.712725732933848,-0.749735555893008
"TCGA.A6.A5ZU.01A.11R.A28H.07",-0.234340198572766,-0.0886933942224487,0.470680673373243,0.579032733814139,0.576655214523114,0.431903605706891,0.326552882649527,-0.417843965960614,0.446072057098804,0.134028057232944,-0.102151320553448,-0.416543349747631
"TCGA.DM.A28H.01A.11R.A16W.07",-0.233075559081949,-0.250170979704324,-0.556069517096953,-0.787592252861826,-0.629807797049246,-0.653175428466211,-0.687164722119136,0.782986698631456,-0.478256364131878,-0.870873413634506,-0.66759041681443,-0.798381400223024
"TCGA.QG.A5YV.01A.11R.A28H.07",-0.22349247780113,-0.074383703630125,-0.537865865196318,-0.820759611755849,-0.512526361866029,-0.556118996405104,-0.681273463830044,-0.981022541358527,-0.587217686782182,-0.600465705559436,-0.613303388838757,-0.699766356982389
"TCGA.DM.A28A.01A.21R.A32Y.07",-0.210641985077561,0.46132230363335,-0.243172783484141,-0.121893571858378,0.502594477518407,-0.458853934576528,-0.434153416573701,1.19343944023137,0.0356930131307672,-0.628303120010234,0.204787827549033,0.125353599685509
"TCGA.A6.6141.01A.11R.1774.07",-0.210194873092263,0.112532497883198,-0.369992577808955,-0.349039869067057,-0.134494865108277,-0.224917458558995,-0.31428454836176,-1.20697622540453,-0.542966124652955,0.717233831670696,-0.66856698556061,-0.349404043936783
"TCGA.D5.5541.01A.01R.1653.07",-0.209562695377345,1.01191751824886,-0.344646733200859,0.13853987195328,0.376693278388185,-0.0729149092104969,0.264561625270955,0.94240742379646,-0.101109718600811,-0.725821643007179,-0.304471342359931,-0.319971968011219
"TCGA.CK.5913.01A.11R.1653.07",-0.208944720711515,0.419354515486412,-0.387982152128439,-0.219439177837092,-0.0907924343187563,-0.175185988849831,-0.140202195797101,0.536037201422644,0.202354551336774,0.173780628107392,0.0358113149018648,-0.336044863202215
"TCGA.CM.5348.01A.21R.1723.07",-0.202896068196306,0.265790478570649,-0.0230728000486959,1.57148554002226,1.12449069529825,1.36716617957985,1.45980818556506,-0.609437363528183,0.102560626955456,0.549800673676541,0.744170030799541,-0.161345307238808
"TCGA.AA.3713.01A.21R.1723.07",-0.191206958796682,-0.193636867238627,-0.398860116252054,-0.503147620528223,-0.477992798310698,-0.264399476906,0.0642950569671437,-0.733043060862483,-0.632757203109206,1.13082509876457,-0.446314767020111,-0.379556426785966
"TCGA.CA.6719.01A.11R.1839.07",-0.176910027553966,-0.172204248385886,0.623774373907963,0.409549446697491,0.282650093455517,1.31018557936948,0.33472349370027,2.34209308821298,-0.0381841456592952,-0.503838829012011,-0.306451124076683,0.183824095427216
"TCGA.A6.6782.01A.11R.1839.07",-0.173841458798451,-0.445718873068323,0.292702218405216,0.761639079302071,0.158240003214886,0.449193283650663,0.573529387888759,0.874789461153479,0.264190265916471,-0.301137869487721,-0.180930182967722,1.3881186420855
"TCGA.CM.6680.01A.11R.1839.07",-0.164630781464725,-0.238823904619388,-0.107133538164419,0.141158437839485,-0.253498079249297,0.109378982631345,-0.0378863907013036,-0.402958726723022,-0.118337431052097,0.135461060455387,-0.156286592294543,-0.0882592814771492
"TCGA.CM.5860.01A.01R.1653.07",-0.163106226175593,-0.374070397426206,0.131094817143125,0.908371312038562,-0.274593030636625,0.74751301557003,0.531752625322008,0.31256053914967,1.96192391994994,-0.237666441572163,2.36131574446957,0.417144909046576
"TCGA.AD.6548.01A.11R.1839.07",-0.156901056059431,0.191743993595673,-0.274855089244261,0.0566969795744204,-0.216349550636928,0.00852444702422295,0.278683063235807,0.798970146544965,0.325666890385466,-0.319634225895926,0.523699499959666,0.435688624498824
